Consent,Role,Experience,Project_Sector,Trigger_Event,Conflict_Progression,Hidden_Factors,Additional_Comments,Conflict_Severity_Label,Conflict_Severity_Num,text_blob
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,no_response
"Yes, I agree to participate.",Student,0-5 years,Residential,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,no_response
"Yes, I agree to participate.",Client / Developer,0-5 years,Residential,Division of work,Yes,Yes,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,Division of work Yes Yes
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential;Commercial / Office;Industrial,"Delayed Deliverables such as drawings, Estimates, cost control reports, etc",No,"Poor communication as lot of stakeholders were involved, getting an approval from everyone was not an easy task",,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,"Delayed Deliverables such as drawings, Estimates, cost control reports, etc No Poor communication as lot of stakeholders were involved, getting an approval from everyone was not an easy task"
"Yes, I agree to participate.",Client / Developer,0-5 years,"Residential;Commercial / Office;Infrastructure (Roads, Bridges, etc.)",,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,no_response
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,Site meeting about delays,Loss of trust,Lack of transparency,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,Site meeting about delays Loss of trust Lack of transparency
"Yes, I agree to participate.",Project Manager / Engineer,6-10 years,Residential,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,1,no_response
"Yes, I agree to participate.",Project Manager / Engineer,11-15 years,Residential;Commercial / Office,,,,,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,no_response
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,1,no_response
"Yes, I agree to participate.",Project Manager / Engineer,More than 15 years,Residential,,,,,Low / None: Minor disagreements resolved easily; no impact on project goals.,1,no_response
"Yes, I agree to participate.","Expert witness, forensic claim analysis",More than 15 years,"Commercial / Office;Infrastructure (Roads, Bridges, etc.);Industrial;Process, Energy, environmental",Unexpected Notification from the contractor on the increase in the structural price because of alleged delay by Owner in approval of structural steel shop drawings,It was a Financial issue triggered by subcontractor’s escalated quote on structural material to the contractor and in turned the contractor blamed this issue on the owner by cooking up unsubstantiated delay in shop drawings which had no bearing on the cobtractor’s ability to issue P.O/mill order on structural steel to the subcontractor,No,The contractor’s claim went into protracted litigation and was eventually settled before the trial in favor of the owner,"High / Critical: Major disputes leading to arbitration, litigation, significant delays, or project suspension.",3,Unexpected Notification from the contractor on the increase in the structural price because of alleged delay by Owner in approval of structural steel shop drawings It was a Financial issue triggered by subcontractor’s escalated quote on structural material to the contractor and in turned the contractor blamed this issue on the owner by cooking up unsubstantiated delay in shop drawings which had no bearing on the cobtractor’s ability to issue P.O/mill order on structural steel to the subcontractor No The contractor’s claim went into protracted litigation and was eventually settled before the trial in favor of the owner
"Yes, I agree to participate.",Contractor / Subcontractor,More than 15 years,"Residential;Commercial / Office;Infrastructure (Roads, Bridges, etc.);Industrial",,,,,"High / Critical: Major disputes leading to arbitration, litigation, significant delays, or project suspension.",3,no_response
"Yes, I agree to participate.",Project Manager / Engineer,0-5 years,Residential,"That meeting changed the tone from “payment coordination” to “performance blame”. From that point onward, discussions were no longer solution-oriented but trust-defensive, and the conflict began escalating.","A financial issue gradually turned into a trust issue, then into a productivity issue, and finally into a project delay issue.","What began as a solvable financial/technical issue became difficult to resolve due to human behavior, communication gaps, and loss of professional trust.",,Medium: Frequent disagreements that required senior intervention; minor impact on time/cost.,2,"That meeting changed the tone from “payment coordination” to “performance blame”. From that point onward, discussions were no longer solution-oriented but trust-defensive, and the conflict began escalating. A financial issue gradually turned into a trust issue, then into a productivity issue, and finally into a project delay issue. What began as a solvable financial/technical issue became difficult to resolve due to human behavior, communication gaps, and loss of professional trust."
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Industrial,A delay notice from contractor led to a heated discussion with the consultant.,2,3,This research topic is very relevant to current construction disputes.,4,3,A delay notice from contractor led to a heated discussion with the consultant. 2 3 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,11-15 years,Industrial,A subcontractor raised a complaint about unpaid invoices.,2,3,Use of data analytics may help improve dispute resolution.,4,3,A subcontractor raised a complaint about unpaid invoices. 2 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Industrial,A delay notice from contractor led to a heated discussion with the consultant.,4,3,Use of data analytics may help improve dispute resolution.,4,3,A delay notice from contractor led to a heated discussion with the consultant. 4 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Commercial,Variation order was rejected during billing certification which created disagreement.,2,3,This research topic is very relevant to current construction disputes.,4,3,Variation order was rejected during billing certification which created disagreement. 2 3 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,0-5 years,Industrial,Variation order was rejected during billing certification which created disagreement.,3,2,Better contract clarity and digital monitoring can reduce disputes.,5,3,Variation order was rejected during billing certification which created disagreement. 3 2 Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Industrial,Variation order was rejected during billing certification which created disagreement.,3,3,AI tools could help identify conflict risks early in projects.,5,3,Variation order was rejected during billing certification which created disagreement. 3 3 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Infrastructure,Dispute started when revised drawings were issued late affecting the schedule.,2,4,Use of data analytics may help improve dispute resolution.,4,3,Dispute started when revised drawings were issued late affecting the schedule. 2 4 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Commercial,Variation order was rejected during billing certification which created disagreement.,5,5,Better contract clarity and digital monitoring can reduce disputes.,5,3,Variation order was rejected during billing certification which created disagreement. 5 5 Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Residential,,4,2,,4,3,4 2
"Yes, I agree to participate.",Contractor / Subcontractor,21+ years,Residential,,5,4,Interesting study for improving collaboration in construction.,2,1,5 4 Interesting study for improving collaboration in construction.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Industrial,,2,4,,5,3,2 4
"Yes, I agree to participate.",Consultant / Project Management,21+ years,Industrial,A delay notice from contractor led to a heated discussion with the consultant.,5,5,,4,3,A delay notice from contractor led to a heated discussion with the consultant. 5 5
"Yes, I agree to participate.",Contractor / Subcontractor,21+ years,Commercial,Dispute started when revised drawings were issued late affecting the schedule.,3,3,Better contract clarity and digital monitoring can reduce disputes.,2,1,Dispute started when revised drawings were issued late affecting the schedule. 3 3 Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Infrastructure,A delay notice from contractor led to a heated discussion with the consultant.,4,2,Use of data analytics may help improve dispute resolution.,3,2,A delay notice from contractor led to a heated discussion with the consultant. 4 2 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,A subcontractor raised a complaint about unpaid invoices.,5,3,Use of data analytics may help improve dispute resolution.,5,3,A subcontractor raised a complaint about unpaid invoices. 5 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,,3,5,This research topic is very relevant to current construction disputes.,2,1,3 5 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Commercial,,3,2,Use of data analytics may help improve dispute resolution.,4,3,3 2 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,21+ years,Infrastructure,Variation order was rejected during billing certification which created disagreement.,3,3,This research topic is very relevant to current construction disputes.,2,1,Variation order was rejected during billing certification which created disagreement. 3 3 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Residential,A subcontractor raised a complaint about unpaid invoices.,3,3,Use of data analytics may help improve dispute resolution.,4,3,A subcontractor raised a complaint about unpaid invoices. 3 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,0-5 years,Infrastructure,A subcontractor raised a complaint about unpaid invoices.,2,5,Better contract clarity and digital monitoring can reduce disputes.,3,2,A subcontractor raised a complaint about unpaid invoices. 2 5 Better contract clarity and digital monitoring can reduce disputes.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,,2,5,,2,1,2 5
"Yes, I agree to participate.",Consultant / Project Management,11-15 years,Infrastructure,Client reduced payment amount citing quality issues during a review meeting.,2,3,This research topic is very relevant to current construction disputes.,2,1,Client reduced payment amount citing quality issues during a review meeting. 2 3 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,11-15 years,Industrial,A claim for additional cost due to material escalation was not accepted.,4,3,Use of data analytics may help improve dispute resolution.,2,1,A claim for additional cost due to material escalation was not accepted. 4 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Client / Owner Representative,6-10 years,Residential,Client reduced payment amount citing quality issues during a review meeting.,2,2,AI tools could help identify conflict risks early in projects.,3,2,Client reduced payment amount citing quality issues during a review meeting. 2 2 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,,4,4,AI tools could help identify conflict risks early in projects.,3,2,4 4 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Client / Owner Representative,0-5 years,Industrial,A claim for additional cost due to material escalation was not accepted.,2,4,This research topic is very relevant to current construction disputes.,4,3,A claim for additional cost due to material escalation was not accepted. 2 4 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Residential,Client reduced payment amount citing quality issues during a review meeting.,3,4,Use of data analytics may help improve dispute resolution.,2,1,Client reduced payment amount citing quality issues during a review meeting. 3 4 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Contractor / Subcontractor,0-5 years,Residential,Client reduced payment amount citing quality issues during a review meeting.,4,3,Use of data analytics may help improve dispute resolution.,4,3,Client reduced payment amount citing quality issues during a review meeting. 4 3 Use of data analytics may help improve dispute resolution.
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Residential,Client reduced payment amount citing quality issues during a review meeting.,4,3,Interesting study for improving collaboration in construction.,5,3,Client reduced payment amount citing quality issues during a review meeting. 4 3 Interesting study for improving collaboration in construction.
"Yes, I agree to participate.",Contractor / Subcontractor,16-20 years,Commercial,A subcontractor raised a complaint about unpaid invoices.,4,4,This research topic is very relevant to current construction disputes.,2,1,A subcontractor raised a complaint about unpaid invoices. 4 4 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Contractor / Subcontractor,11-15 years,Residential,Variation order was rejected during billing certification which created disagreement.,5,2,,3,2,Variation order was rejected during billing certification which created disagreement. 5 2
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Industrial,Client reduced payment amount citing quality issues during a review meeting.,4,2,This research topic is very relevant to current construction disputes.,3,2,Client reduced payment amount citing quality issues during a review meeting. 4 2 This research topic is very relevant to current construction disputes.
"Yes, I agree to participate.",Client / Owner Representative,21+ years,Industrial,Dispute started when revised drawings were issued late affecting the schedule.,4,3,,2,1,Dispute started when revised drawings were issued late affecting the schedule. 4 3
"Yes, I agree to participate.",Client / Owner Representative,16-20 years,Industrial,A subcontractor raised a complaint about unpaid invoices.,5,5,AI tools could help identify conflict risks early in projects.,4,3,A subcontractor raised a complaint about unpaid invoices. 5 5 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,Variation order was rejected during billing certification which created disagreement.,4,2,,3,2,Variation order was rejected during billing certification which created disagreement. 4 2
"Yes, I agree to participate.",Contractor / Subcontractor,6-10 years,Industrial,Variation order was rejected during billing certification which created disagreement.,3,2,,5,3,Variation order was rejected during billing certification which created disagreement. 3 2
"Yes, I agree to participate.",Consultant / Project Management,16-20 years,Residential,,2,5,AI tools could help identify conflict risks early in projects.,4,3,2 5 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Residential,Responsibility for delay was argued during a weekly progress meeting.,2,5,,5,3,Responsibility for delay was argued during a weekly progress meeting. 2 5
"Yes, I agree to participate.",Consultant / Project Management,11-15 years,Industrial,,3,3,AI tools could help identify conflict risks early in projects.,4,3,3 3 AI tools could help identify conflict risks early in projects.
"Yes, I agree to participate.",Consultant / Project Management,6-10 years,Commercial,Site team disagreed on scope interpretation mentioned in the BOQ.,5,5,Better contract clarity and digital monitoring can reduce disputes.,3,2,Site team disagreed on scope interpretation mentioned in the BOQ. 5 5 Better contract clarity and digital monitoring can reduce disputes.
